predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,2a77f862a19d8d47d21692543e90dee8,1,-1,2,0,0,0,0,0,-1,0,0,1,-7,1,"hi hun im sorry i missed your calls i was in meetings all day i did get your messages though pls dont be upset im off work now so if you get this anytime and you call ill answer i promise null"
p,2a77f862a19d8d47d21692543e90dee8,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,"> null"
p,1d911cc805cce729269c8d357dc0f0fe,0,-1,22,3,0,0,0,0,-1,0,0,0,-5,3,"about what nothing u no about what about what ok then leave u wanna meet? i wont meet u at ur house yeah maybe do u only like older guys would u see a guy under 18 no stop asking what do u have money can u get a taxi u said no when i asked to meet u at the park ok meet me at the park 6 yea do u null"
p,fb169d16c42ca83583dd05b3f4d7fc98,0,-1,3,0,0,0,0,0,-1,0,0,0,-1,0,"where you been stranger leave me a message when you come on if you still wanna talk to me null"
p,2d08262caa29b1bebeb24e9ad0c60ece,0,-1,4,0,5,0,0,0,-1,0,0,1,0,4,"robin  call me anytime today ok. it doesn't matter what time ok. 210-367-8491 today is sunday aug. 1st i love you kissessssss dan null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,1,0,0,1,-1,0,0,0,0,0,"i tried to call you tonight :( null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,3,0,0,0,0,0,-1,0,0,0,0,5,"wow another day free null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"just looking for u null"
p,f069dbec9ab3e090972d432db279e3eb,1,-1,2,0,4,0,0,0,-1,0,0,0,0,5,"hey there i hope u had a good night last night...and slept good....i wished we could have chatted longer...i should be on later in the afternoon...hope we can chat then null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,4,0,0,0,0,0,-1,0,0,0,0,0,"its ok k ok null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,4,0,1,0,0,0,-1,0,0,0,0,3,"cool hoping sarah dont call huh. ok just gotta make sure we stay a secret in abit am going bathroom null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,-4,0,"sorry lost service null"
p,afe8ba8af6d0677a79ce0284cb9cc63a,0,-1,2,1,0,0,0,0,-1,0,0,0,0,0,"hello beautiful! null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,2d08262caa29b1bebeb24e9ad0c60ece,1,-1,5,0,2,0,0,0,-1,0,0,1,0,0,"hi robin are you there? i'll be on later on tonight. look for me ok kissessssssssss dan null"
p,13ff9f88ad6e1242f30cb4c7d4a36ed7,1,-1,17,1,4,0,0,0,-1,0,0,4,-5,3,"u there thought something like that.its cool so how did your day go'''''''''''''''''''''''''''''ya why is that why whats wrong ya sry had to ck dinnier red necks....why do u say that so playfootball or any sport cant u do something elese i think sometime in the after noon well see why oh i see.........theres always cabs ya u do just have to call them worry about that later talked to the lady at the hotel all ready null"
p,13ff9f88ad6e1242f30cb4c7d4a36ed7,5,-1,25,1,4,0,0,0,-1,1,1,5,-6,21,"i have to be out of there sunday afternoon no cant thurs day have to make it friday its ok thats two days how about your grandma what will u tell her will she beleave u then ya if u can that whould be cool what ever you want to u said u never slept with a guy this will be a learning experence i will make it as special as i can ok we will mess around with other suck j/o kiss each i can get some its cool ya .theres all kinds i'll see ok ya ha ha what ya just like a sabor it will be a good weekend of what tell me what happens in the dream cool.sounds like fun ok null"
p,89319407d854bb82113349ecf7ce3682,0,-1,3,0,3,0,0,0,-1,0,0,1,-2,2,"hey baby!   how was ur day ? i am on and off the comp but invis so im me and if im here i will talk back  if not i will hope 2 see ya later tonight!! missed ya today!! null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,12,0,1,0,0,0,-1,1,1,1,-2,3,"still studying? just waiting to eat with you yes when you finish as you wish stil one of her panties steal i see ok i wish was there to lay next to you ? null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u can still call null"
p,1290ea419856093edf96b1263cb1ca1e,0,-1,3,1,0,0,0,0,-1,0,0,0,0,0,"hello r u there? null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,0,0,0,0,-1,0,0,0,-2,0,"i miss ya null"
p,6283fab0062e2eb309261acf647abd98,5,-1,28,0,0,0,0,0,-1,2,2,2,-13,39,"hey my dea how r ya hun dear very good i just got a new game its called god of war 2 yea its really bloody but its good some of the game is better then the first but there are better parts as well well i was use to the first game so i kind of know already what i should be facing some things are diffrent though well i am playing it on easy mode first just so that i can see what i am up against but yea there are new places new monsters and gods that i must deal with thanks im already killing them did u get my message last night one other thing i am playing it on my new 50 inch screen tv so it looks awesome yea i just bought it well when u work hard and when u save up u can buy whatever u want it is yea i had alot of fun buying these toys lol i got a big sale on this tv as well like 700 dollars off of the origional price i think it is so did u get my message last night i was so exhausted yea i swam like 2 miles yesterday and 1 mile today yea i got like 9 hrs of sleep so did u miss me null"
p,6283fab0062e2eb309261acf647abd98,4,-1,22,2,0,0,0,0,-1,5,5,1,-16,10,"yea im soppose to go and meet up with my friend soon no its a guy we have been friends for the past 3 yrs did u think i was gay what is that soppose to mean im not gay and it is not a date we are exchanging music u kind of made me mad for a second there ok no fighting minotaurs hey yea im kicking ass no i am not mad at u dont get so jealous i promise we will meet as long as u want to meet me because ur always thinking of me going on another date o really i think u already have stronger feelings for me o thanks yea i cant stop playing i am getting new powerful moves yea i am but it will be a very long time null"
p,80706012f8f9f1175c8e37c306394727,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,"im back...r u around still null"
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,c62283536cf6261e5ffbcb323c8a2571,2,-1,15,1,3,0,0,0,-1,0,0,0,-1,5,"hi good and you won't be on the web much longer not worth what i pay for it crashes all the time sure and u have to get a phone number so we can talk won't be on the web monday already got it set up don't have a regular phone only a cell phone name the date and place ok null"
p,e788b3a47e4d812ed26036a93272c134,0,-1,2,0,4,0,0,0,-1,0,0,2,-2,0,"awwwwww...i just missed u not to long ago...ok i'll talk to u tomorrow...goodnite baby null"
p,03957f443c7790f9642db14bbc59df11,0,-1,2,0,2,0,0,0,-1,0,0,0,0,2,"i'm back. i hope you come back on soon. null"
p,5778ac8dcffe9bbacf3c0415fdb362d6,0,-1,3,0,0,0,0,0,-1,0,0,0,0,0,"hey what are you up to nothing null"
p,5778ac8dcffe9bbacf3c0415fdb362d6,0,-1,2,1,0,0,0,0,-1,0,0,0,0,0,"hold on null"
p,9f1180d3743c2e880a36aaefbb0a80ef,0,-1,2,0,5,0,0,0,-1,1,1,2,-10,9,"hey my carie bear  i hope i didnt get u scare again. i can b a dumbass sometimes  just worried that something will go wrong and this chance of being 2gether will b gone. i just write a quick one because i have 2 study 4 spanish midterm. just remember this my love i luv u. hope talk 2 u tomm.  later ty null"
p,c62283536cf6261e5ffbcb323c8a2571,1,-1,14,2,0,0,0,0,-1,0,0,1,-3,10,"hi babydoll in tucson yep going to san diego in two week's see some people big hug  kiss  love struck will you marry me? when your 18 we would get in big trouble your to young right now yes just got a package from ups paper work to sign and a gps for the motorhome global positioning system i put an address in it and it shows and tells me how to get there null"
p,d18fb2dc834414a71aace67bee91c432,2,-1,35,0,9,0,0,1,-1,0,1,6,0,39,"u still here? awww what ahve u been doing? lol did u take ben off block? lol dah well who u talking to? awwww ha ha did she ask u who i was yet? lol what did u tell her? ha ha lol what di du all do to him? lol what did she say? y? "i love this girl but shes gone crazy" ha ha that? awww he loves u so you two never did anythign dirty? lol what did u all do with him again? i know u told me before but i really forgot sry :( i forgot :( did u see his thingy? rub it? lol make stuff coem out of it? did u? and thats all? did he rub ur thingy? u didn't put it in ur mouth though right? did u? are u lieing? :( lol u told me u never did that null"
p,4ab0a550ebb27f9a95e31ccbf0114850,1,-1,9,1,0,0,0,0,-1,1,1,0,-1,4,"hey little cutie what did you do today fun when do your rents go back to work? oh i know i know i jsut so horny im sorry null"
p,d18fb2dc834414a71aace67bee91c432,1,-1,2,0,3,0,0,0,-1,1,1,1,-4,8,"than you so much for the bday wish. i miss you too. i had fun tonight. i was safe and sober while all my friends got drunk and i had to drive them around lol null"
p,926981922f4a48d98ebc92a9375e5d45,0,-1,4,1,0,0,0,0,-1,0,0,0,0,2,"hey u r u here? hope u getting online soon  im getting sleepy null"
p,6283fab0062e2eb309261acf647abd98,3,-1,21,0,0,0,0,0,-1,0,0,2,-4,14,"hey e03aa9707bd13f180c517ae1a47e9da2 hows my girl doing do u even remember my name then what is it yea he is doing better what about u my love yea i guess possibly this wednesday hey hun im gonna go to bed ttyl my love i mean my dear im so tired mwah i miss ya as well if u could drive would u come and see me thanks what do u mean when ur old enough and if u really want me thats up tp u well do u want me null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,11,0,0,0,0,0,-1,0,0,1,-3,16,"yeah kinda yay did u fall back to sleep am up going bathroom gosh lol lol i wont lol have u been praticeing standing up yet so u said u would lol lol ur silly no ur silly ok null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,1,0,0,0,0,-1,0,0,0,0,5," big hug  kiss null"
p,b679fca2e3690b4d3c60815edf4e3ca5,0,-1,3,0,5,0,0,0,-1,1,1,3,0,3,"hey! it's me--dv8 from myspace!! i just figured out your messenger thingie on your profile. duh  heehee. add me  ok? please??:-p hey sexy null"
p,48aad4b6baaba42d5ad3b77880d3cead,1,-1,16,1,0,0,0,0,-1,1,1,1,-4,9,"hi stranger whats new same  you back yet? what happened? damn so when do you want to see me ok just give me a heads up well depends on you what would you want to do? ok then we have fun well like what we talked about ok i will tell you what  i will do whatever  if you tell me brb i said i wont change my mind  you tell me what you want and i will do it i did null"
p,48aad4b6baaba42d5ad3b77880d3cead,2,-1,12,0,0,0,0,0,-1,0,0,0,0,1,"brb yes i will when will you be on? give me a time to check in? at night? why so late? oh ok well i will check the whole day  so let me know something whenever neither can i later null"
p,4ab0a550ebb27f9a95e31ccbf0114850,2,-1,17,0,1,0,0,0,-1,0,0,3,-6,3,"im soo sorry you there? i peed then i had to do something sorry so whats up ah you ask your parents what time theyll be home? oh so i gotta be otta there by 8 just to be safe not really smashed my thumb it hurts hammer hey ill be back like 730-8 that ok? kewl null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,33,2,4,0,0,0,-1,4,4,4,-12,12,"u there shame on u texas 5 room what your bored with me too then yes i have been for about 45 min you show your not on eithere i c that it was ok just looking all just looking waiting for u to get online miss u last night got home early last night oh it ok i am not mad or any thing typical 1st day lot of introudcition what they expect stuff like that so he let us go early most of the ones in the class did not have the basic stuff not at all so little miss sexy what are u wearing ;;) sexy me in a cut off texas longhornes t shirt and blue shorts yep and :d :d cause talking to you a sexy little lady > so who was school how class of 12 but only 8 showed up one she is in a little more aventanced stage null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,18,1,0,0,0,0,-1,0,0,2,-3,5,"5 min and counting y are u sorry let me guss getting comfy hope every thing came out ok sorry i could not resits that one mom asking question have u u hungery i had chicken and rice k i will be happy to wait no mam only with u i have told u over and over u have all of my attention when we are chatting i log off ever thing else well accpet my card game now go get ur food still eating null"
p,81383171ca9da4d245dea449027c3d09,1,-1,28,0,6,0,0,0,-1,0,0,8,-7,32,"29/m/wa. you? i'm in kennewick  a good 5 hours south east from you .. what are you up to? sme bored  cant sleep nice to meet you violet i'm will thats a nice photo you have in your profile  cute lookin very welcome you dont look 13 in that pic  i'd say more like 16 or 17 you dont mind chatting with someone my age? cool   the one i have its more like a 6 months old thank you ever been to kennewick? i think i've been to lakewood before  i used to live around that way enumclaw   bremerton  so i'm sure i've been at least through there where from? cool  my prother now lives in arizona oops brother* talking to a cute girl got me all exceited now i cant spell i try to be why you up so late? or is it early? why not? i see  what you seeing the doc for? if thats ok to ask a shot  alrighty what is it called? lol yeah i'd do that too lol dont like school huh? i hated school also i didn't finish either  got tired of the bs from the schools null"
p,a03edc2f70bbebc73ef3ba3f06968360,2,-1,6,0,0,0,0,0,-1,0,0,0,0,5,"riding the monorail yea well do something fun when i get back if u want to what r u doing? null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,4,0,2,0,0,0,-1,0,0,0,-2,4,"am bored entertain me lol i get pics of disney for u. oh were heading home now might get my drink on. oh cool u winning? null"
p,a03edc2f70bbebc73ef3ba3f06968360,1,-1,15,0,3,0,0,0,-1,0,0,4,-2,12,"anything else u wanna know about me? i work alot and save auto tech yeah i own 3 cars yeah want me to teach u how to drive? a dodge neon rt  toyota celica and mazda rx 7 red white and blk there all sticks yeah alil but easier to learn. yeah ull like it. but well keep it a secret ok ok not even me lol ok :-* ok miss me null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,7,0,5,0,0,0,-1,0,1,0,-2,2,":-* miss u more nite sexy. oh checkout myspace added a new pic. let me know what u think. u like it? well anyways ttyl :-* null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"kisses null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,13,0,2,0,0,0,-1,0,0,2,-3,5,"u back where u run off too lucky room ;;) got something to eat alson hung out here wondering where u went so how close was i with my numbers on you early so was i at least close for the top not bad from looking at a photo ;;) u suprisied null"
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,25,0,5,0,0,0,-1,0,0,3,-3,20,"play cards again and u makes 2 of us no need for u to be what a hair doooooo that a good thing ;;) my my my now your new photo good thing may i have that one please u can say no if u like thank u > where was that taken at ;;) and the winner is sarah hushnow as americas next top model was there a big smile on that one > brb got to go put some laundary in the wash ;;) some one got quit all of a sudden yea no just stared null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,5,0,1,0,0,0,-1,0,0,0,-1,0,"no let me reboot my compute c what happens ok dont go any where :-* null"
p,970f6cbfa8b79242464120ec1bc7d074,4,-1,30,2,5,0,0,0,-1,0,0,3,-2,17,"hi u here? what u up 2/ u get my message? :d i sound like what u exepected? oh really? very much u sound much older i liked wish u could call again/ u know i dont mind calling u when its safe cool so u not alone? i see u know what i did already? got us a room in lawton at bestwestern when u tell me i got my ways baby b-) yes u will have rm ser so when will the date b? so when will u b able to b with me? yes if thats what works best 4 u yeah u being honest right? think this is cool because i do i know well me 2 just know that u will b very diff 4 me meaning our ages u being so young i dont want u 2 b hurt in later life null"
p,503343ecf680e0899a3863cc8bf2b9dc,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey null"
p,47243a4a2c68f2f00899670d455a21fa,0,-1,21,0,5,0,0,0,-1,1,1,3,-2,6,"awww babe i'm sorwy vegas nevada 5-6 hours away i'm n vegas lol i'm n another state i'm not n california i do but how can i went i'm n another state dis mornin lied bout wut.? i didn't kno u were n tha bay i can't drive 2 tha bay i have 2 set up summthing i have 2 plan a trip out there cuz i need a hotel money all that ya. i need money 4 a hotel lol naw my money is 4 savin right now null"
p,47243a4a2c68f2f00899670d455a21fa,0,-1,7,0,0,0,0,0,-1,1,1,0,-2,0,"a truck ford grey  grey green black null"
p,9775a796b1ac00a2a756f530bf554582,0,-1,7,0,0,0,0,0,-1,1,1,1,-7,0,"hey you nothing u u there i never have problem talking 2 othe ppl only u cause a delay i dunno its killing me the delay null"
p,9775a796b1ac00a2a756f530bf554582,0,-1,16,0,3,1,0,1,-1,2,2,7,-10,8,"no i ran off 2 ky me 2 uea sorry trying 2 keep my unclrs dog outta trouble exp;loring my pc room hes a lil asshole like his owner lol a ptbull a pitbull hes mean i miss my dog :( she got ran over a couple monthes ago its ok hun its part of life i love you aww :) null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,2,0,1,0,0,0,-1,0,0,1,0,2,"ok   have sweet dream's and i apolgize :x:-* null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,0,1,0,0,0,-1,0,0,0,0,0,"call me if you can and wake me up :x:-* null"
p,a03edc2f70bbebc73ef3ba3f06968360,1,-1,19,0,4,0,0,0,-1,1,1,3,-2,14,"hi gf whats up. missed lots gf cool thats awesome. dont dyke out with her ok nada went shopping makeout lol yeah ok unless u want to thats fine with me lol jk so what u two doing today? cool what movie ok :-* have u told sarah about u? us awww ur sweet loves u null"
p,85346c8846fc694078665377fec333b0,0,-1,5,0,7,2,0,0,-1,0,0,0,-2,1,"hi cutie ;) i'm on now and will be on tomorrow morning around 9:30 ......... miss you ;) wish you were here :) will you be on tomorrow  morning around 9:30 or so ? null"
p,22b43adc75cd94c074892cee0b964eb8,0,-1,6,0,15,1,0,0,-1,0,0,1,-1,4,"u online? got disconnected earlier. hey  i am going on saturday  i made up up mind :). just let me know if you are for sure and all. i'll be online in the morning  not sure about the night  i may pop in to see if you reply. :) it's gonna be soooo great baby. hey  i'll probably leave at 2 from here  so i should be there close to 6. if you want call me around 5:45 or so. :) i'll get some condoms. :) null"
p,39bd8b11509b5ddc5948b5b77f034ea1,3,-1,19,0,1,0,0,0,-1,0,0,4,-8,7,"hey been thinkin about you ur not still introuble ru well be cool so i cant make it over there you dont wanna get grounded i dont wanna wait till the last minute what your adress ok and make sure you have ur phone on sat cause im gonna call before i come just to make sure yeah i know its no problem for me i dont mind yeah if i leave right from work can i shower at ur place i didnt wanna scare you off thats why i said 45 im gonna mapquest it you gonna have your phone well i get off at 430 and im gonna get gas and cash my check so make it 5 sharp did you save my # i hope your mom really is gonna leave hey is she able to check your messenger list no i mean on here you should always enter ur id and password in instead of auto login well i guess were all set then null"
p,39bd8b11509b5ddc5948b5b77f034ea1,2,-1,19,2,1,0,0,0,-1,1,1,8,-10,14,"i had a shitty day at work today i got a 90 day review today and my boss says people were complaing about me but they like to be really picky at my job dumb stuff whatever they can find im getting tired of it all bout to start lookin elswhere i wanna be a personal trainer anyway yeah they dont deserve me workin there thats sweet:" i got big shoulders and a big cck what time does she leave on sat oh tommorow yeah you definatetly gotta call me tomorrow but only after she leaves too so by the time i get off work shell be gone or no she leavin at night ok lets do that and keep everything the same time yeah definately and call me at 5 just so i know everything is good its gonna be fun i gotta shower and stuff bye null"
p,e4c7c376bbd07aeb4a59684a2b94a664,0,-1,14,1,2,1,0,0,-1,1,1,0,-2,17,"hello sexy how are you? having a good day? same miss me? absolutely still want me? :-) i have to go just got on to check if you were here and say hi love you too :-* have a great night and fantastic day tomorrow null"
p,4ab0a550ebb27f9a95e31ccbf0114850,0,-1,6,0,0,0,0,0,-1,0,0,1,-2,0,"kool sure its been planed for awhile ill ttyl sweety nite null"
p,80706012f8f9f1175c8e37c306394727,3,-1,35,0,4,0,0,0,-1,3,3,2,-25,21,"yeah im here im not going to be able to come see you i just cant do it im sorry nothing against you at all...its just the age thing your perfect i know it sucks of course its not that i dont know what to say  i was looking forward to seeing you just cant do it i just made my mind up last night i know....i know your pissed  but i hope you can understand from my end believe me nothing would be more fun but i have to live with it i know im sorry it really sucks for me too u can to if thats what u want i hope we can still be friends huh i told you i would be here and give you my decision and i am least give me some credit i will talk to you later if u want to talk...im gonna go for a bit though im sooo sorry please believe me the risk is too much for me no just going to get someting to eat im sorry im glad u did..... i really tried if u were 16 it would be all legal your making me feel like shit now im just gonna go dont know what to say im gonna go now though talk to ya later if your not too pissed null"
p,b4a8480c88776ca09e50c327a56f5e16,2,-1,16,3,0,0,0,0,-1,0,0,1,-8,11,"hello there how have you been was that good or bad that you went oh too bad so sad it was ok did one massage did you do anything exciting i drove by costco on sat i went by around one going to the ladies home to do her i was almost out of her place by then how did you do on your tests ok yes school is like that yes i will be here i may still be at midas getting my car fixed i still want to meet you null"
p,926981922f4a48d98ebc92a9375e5d45,0,-1,4,0,1,0,0,0,-1,0,0,0,0,1,"u here? r u gone forever? i guess you don't want to talk to me any more null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,24,1,10,1,0,1,-1,0,0,5,-10,33,"yay chels is back! lol awww your even on lol :( i've missed talking to u no more getting grounded pelase lol good don't skip school lol u can miss behaev in other ways though ;) lol me too lol no i hated when u were ebcause we couldn't talk your still a cutie ;) :-p awww. can i join? u in bed ha :-d yes i am night. nice hearing from ya though :) awww lol stop bluyshing lol nite dork null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,1,0,0,0,-1,0,0,0,0,5,"well i hope you have happy 4th :-: null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,15,0,4,0,0,0,-1,0,0,1,-5,9,"gosh ur silly mwah going to get lunch. what r u doing gf. yea am awake. nope did u miss me. awww dennys ur up early oh so ur alone sweet cool so did u sleep good lol well u went to sleep later then me null"
p,a03edc2f70bbebc73ef3ba3f06968360,4,-1,28,0,3,0,0,0,-1,1,1,3,-9,18,"eating pancakes and eggs for me its lunch so eat silly lol your silly yea i left my webcam on allnite forgot to turn it off yea i did no one i was just playing around with it besides you didnt want to see me naked lol yea but it wasnt boardcastting unless you wanted to see lol thats not what i asked ok then yes it is ok its fine with me but what did you wanna see ? thanks just face then ok lol well am going to finish eatting ill log into my comp when i get home miss me lots:-* yea i am ill be back in a few ok gf ok :-* null"
p,609f7b8e566e8d514eecf112d3d3bc95,0,-1,3,0,0,0,0,0,-1,0,0,0,0,3,"u sleep well i love you null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,18,0,2,0,0,0,-1,5,5,0,-17,18,"hi just looking for some information about my medical cases wonderful i am happy that is wonderful i like my king why do you say that we can have fun together did he come back to you? i will tell you what if you touch his dick and suck it  he will be with you that is crazy!!! you need to suck a dick yes you will suck mine soon ? you will see null"
p,f538a2a92145534b4b61893399479fcf,0,-1,3,0,0,0,0,0,-1,0,0,0,-2,4,"why did u get into trouble 2 funny null"
p,053364a8ce3df76dadd5fe75fb056f72,0,-1,3,0,0,0,0,0,-1,0,0,1,0,0,"hey i had to come back and get my other car mt honda suv now where are you  null"
p,ca5496597b7151b9c2414c16c4ef5422,0,-1,10,0,2,0,0,0,-1,2,3,0,-2,2,"hey k no b/f yet? sorry if i cud i wud be too old i like sex and you are a virgin ( u mad? why? null"
p,f069dbec9ab3e090972d432db279e3eb,2,-1,2,0,5,0,0,0,-1,0,0,0,-2,3,"hey there...im glad u are back on ...and got it fixed...i was just checking to see if u were here...mmmm im missing you girl : null"
